[zwb495@hendrixfut03fl misc]$ python3 findRescale.py 
Series: 1.2.840.113713.4.100.1.2.100209788111034576238766209483056 -> Min: 0.0, Max: 2967.0
Series: 1.2.840.113713.4.100.1.2.105436135911293108519239896713941 -> Min: 0.0, Max: 3412.0
Series: 1.2.840.113713.4.100.1.2.109375979012214632435233729411228 -> Min: 0.0, Max: 2654.0
Series: 1.2.840.113713.4.100.1.2.109930339711772912328483675443193 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.109937067512306820918821876681626 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.110168040911339485416873123110572 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.111297201612734925908612327781303 -> Min: 0.0, Max: 2774.0
Series: 1.2.840.113713.4.100.1.2.112364219512946047622857995723298 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.112366903412910196100033796454016 -> Min: 0.0, Max: 3201.0
Series: 1.2.840.113713.4.100.1.2.113000971197464592949193102343143 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.113396186111027793636927093062126 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.114757890213125345932461234342931 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.119105438311830289202063156563288 -> Min: 0.0, Max: 2649.0
Series: 1.2.840.113713.4.100.1.2.119372270311062145428263699800959 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.119940350812103612014383607463426 -> Min: 0.0, Max: 3189.0
Series: 1.2.840.113713.4.100.1.2.119981796712669434511375244063382 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.120130456313878737019336016850494 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.120530866127077968419587752312966 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.122166077107323242398816706428275 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.123365357313013900142069382650716 -> Min: 0.0, Max: 2969.0
Series: 1.2.840.113713.4.100.1.2.123747579812002316120607110920199 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.124463491116150466407226253435629 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.125886655511705999704637728490121 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.126903526411591918817599341012769 -> Min: 0.0, Max: 4095.0
Series: 1.2.840.113713.4.100.1.2.127857038111023080605846212461820 -> Min: 0.0, Max: 2829.0
